Cluster,Central_File
0,VoenObozren2016_2019_1_0342.t
1,VoenObozren2016_2019_1_0025.t
2,VoenObozren2016_2019_1_0016.t
3,VoenObozren2016_2019_1_0294.t
4,VoenObozren2016_2019_1_0365.t
5,VoenObozren2016_2019_1_0361.t
6,VoenObozren2016_2019_1_0319.t
7,VoenObozren2016_2019_1_0232.t
8,VoenObozren2016_2019_1_0202.t
9,VoenObozren2016_2019_1_0312.t
10,VoenObozren2016_2019_1_0335.t
11,VoenObozren2016_2019_1_0333.t
12,VoenObozren2016_2019_1_0049.t
13,VoenObozren2016_2019_1_0066.t
14,VoenObozren2016_2019_1_0088.t
15,VoenObozren2016_2019_1_0060.t
16,VoenObozren2016_2019_1_0225.t
17,VoenObozren2016_2019_1_0168.t
18,VoenObozren2016_2019_1_0188.t
19,VoenObozren2016_2019_1_0018.t
20,VoenObozren2016_2019_1_0010.t
21,VoenObozren2016_2019_1_0187.t
22,VoenObozren2016_2019_1_0243.t
23,VoenObozren2016_2019_1_0089.t
24,VoenObozren2016_2019_1_0167.t
